,,,A,C,D,E,F,H,I,M,Cluster,CON21,C. elegans,Fly/CON21,Fly,,Fly Gene Name,Fly Gene Description,DBD Family,Mosquito,Human,Mouse,Honeybee,Zebrafish,Silkworm
LOC124203609,XP_046456272.1,adapter molecule Crk-like,646,2132,4408,2336,3430,839,1106,880,,g22578,Y41D4B.13a.1,FBgn0024811,FBpp0088181,FBgn0024811,Crk,Crk oncogene,,XP_001652002.1,ENSP00000396646.1,ENSMUSP00000006293.4,XP_006560280.1,,XP_004926635.1
LOC124203610,XP_046456273.1,phosphatidylinositol transfer protein alpha isoform-like,2186,3842,8575,4173,6699,1999,2377,2987,,g22568,Y54F10AR.1.1,FBgn0267975,FBpp0310907,FBgn0267975,vib,vibrator,,XP_021709262.1,ENSP00000316809.7,ENSMUSP00000137510.2,XP_624564.1,,XP_004928871.1
LOC124203611,XP_046456274.1,60S ribosomal protein L6-like,10659,57025,91622,31033,35538,16065,18288,19403,,g22574,R151.3.1,FBgn0039857,FBpp0085166,FBgn0039857,RpL6,Ribosomal protein L6,,XP_021704947.1,ENSP00000403172.2,ENSMUSP00000031617.10,XP_006558672.1,,XP_021205371.1
LOC124203612,XP_046456275.1,TM2 domain-containing protein CG11103-like,202,436,1008,374,720,461,437,427,,g22583,C02F5.13.1,FBgn0030522,FBpp0428079,FBgn0030522,CG11103,0,,XP_001655039.1,ENSP00000416050.2,ENSMUSP00000033961.6,XP_391919.2,,XP_004930704.1
LOC124203613,XP_046456276.1,calcineurin B homologous protein 1-like,1260,1937,4760,2856,11915,6548,5795,5181,,g22584,ZK856.8.1,FBgn0037358,FBpp0078381,FBgn0037358,elm,ethanol sensitive with low memory,,XP_001652782.1,ENSP00000335632.5,ENSMUSP00000014221.7,XP_006567441.1,,NP_001040173.1
LOC124203614,XP_046456277.1,vitamin K epoxide reductase complex subunit 1-like,479,816,3222,2196,1289,498,519,904,,g22569,,FBgn0053544,FBpp0099770,FBgn0053544,Vkor,Vitamin-K epoxide reductase,,XP_001661572.1,ENSP00000497394.1,ENSMUSP00000059139.9,XP_006566476.1,,XP_037868193.1
LOC124203620,XP_046456279.1,uncharacterized protein LOC124203620 isoform X1,63,1044,18799,13217,24829,7573,7584,2124,,g22589,,FBgn0033504,,,CAP,CAP,,XP_021696702.1,,,,,
LOC124203621,XP_046456304.1,uncharacterized protein LOC124203621,4,46,352,145,250,163,186,61,,g2576,,FBgn0032629,FBpp0080525,FBgn0032629,beat-IIIc,beaten path IIIc,,XP_021703961.1,,,XP_016769068.2,,XP_037870367.1
LOC124203622,XP_046456283.1,rho-associated protein kinase 2-like,3001,11567,18492,6230,7768,3187,3949,2496,,g22592,C10H11.9.1,FBgn0026181,FBpp0309137,FBgn0026181,Rok,Rho kinase,,XP_001651046.2,ENSP00000317985.6,ENSMUSP00000020904.7,NP_001265264.1,,XP_012549888.1
LOC124203623,XP_046456292.1,2-oxoglutarate dehydrogenase%2C mitochondrial-like isoform X8,1040,3655,10514,10256,29317,8171,8820,6031,,g22590,,FBgn0010352,,,Nc73EF,Neural conserved at 73EF,,,,,,,
LOC124203624,XP_046456293.1,cytospin-A-like,3857,6549,14067,5902,9256,3580,3711,3454,,g22591,T15B12.1a.3,FBgn0025633,FBpp0308518,FBgn0025633,CG13366,0,,XP_021710492.1,ENSP00000325785.8,ENSMUSP00000045099.8,XP_026298139.1,,XP_037872493.1
LOC124203625,XP_046456298.1,AT-rich interactive domain-containing protein 1A-like isoform X3,5433,14251,24450,9376,13499,4269,8064,6277,,g22593,,FBgn0035424,,,Larp4B,La-related protein 4B,,,,,,,
LOC124203626,XP_046456300.1,mitogen-activated protein kinase kinase kinase 13-like,931,10085,8961,225,154,24,49,101,,g22594,,,,,,,,,,,,,
LOC124203627,XP_046456301.1,mitogen-activated protein kinase kinase kinase kinase 4-like isoform X1,961,1780,3330,1735,2379,1028,1319,514,,g22595,F33E2.2c.1,FBgn0036896,FBpp0291675,FBgn0036896,wnd,wallenda,,XP_021698006.1,ENSP00000447889.1,ENSMUSP00000133209.2,XP_016768596.2,,
LOC124203628,XP_046456305.1,uncharacterized protein LOC124203628 isoform X1,63,68,151,136,140,46,38,43,,g22600,,FBgn0037926,,,Elp1,Elongator complex protein 1,,,,,,,
LOC124203629,XP_046456307.1,uncharacterized protein LOC124203629,178,468,437,118,128,115,130,111,,,,,,,,,,,,,,,
LOC124203630,XP_046456308.1,T-complex protein 1 subunit delta-like isoform X1,7754,17380,27763,8140,6592,1938,5165,4496,,g22597,K01C8.10.2,FBgn0032444,FBpp0079992,FBgn0032444,CCT4,Chaperonin containing TCP1 subunit 4,,XP_001652824.1,ENSP00000377958.3,ENSMUSP00000133523.2,XP_623672.1,,NP_001040107.1
LOC124203631,XP_046456310.1,uncharacterized protein LOC124203631,87,416,581,156,157,77,82,82,,g22599,,,,,,,,,,,,,
LOC124203632,XP_046456311.1,cyclin-dependent kinase 9-like isoform X1,293,2,55,20,51,39,15,249,,g22607,,FBgn0019949,,,Cdk9,Cyclin-dependent kinase 9,,,,,,,
LOC124203633,XP_046456354.1,uncharacterized protein LOC124203633,1,0,1,219,2140,146,176,19,,g848,,FBgn0003277,,,RpII215,RNA polymerase II 215kD subunit,,,,,,,
LOC124203634,XP_046456316.1,uncharacterized protein LOC124203634,366,103,133,90,262,73,113,547,,,,,,,,,,,,,,,
LOC124203636,XP_046456317.1,homeodomain-interacting protein kinase 2-like isoform X2,3315,9039,14733,5005,7814,2751,3286,2310,,g22608,F20B6.8b.1,FBgn0035142,FBpp0304171,FBgn0035142,Hipk,Homeodomain interacting protein kinase,,XP_021699302.1,ENSP00000343108.7,,XP_026295072.1,,XP_037871188.1
LOC124203637,XP_046456318.1,uncharacterized protein LOC124203637,312,115,254,130,258,172,44,408,,,K08D12.3b.1,,,,,,,,,,,,
LOC124203638,XP_046456328.1,relaxin receptor 2-like isoform X2,30,16,110,117,779,176,130,143,,g22609,,FBgn0082831,,,pps,protein partner of snf,,,,,,,
LOC124203639,XP_046456331.1,solute carrier family 12 member 3-like,690,1669,3252,1225,2257,890,1407,1495,,g3725,,,,,,,,,,,,,
LOC124203640,XP_046456333.1,uncharacterized protein LOC124203640,6654,1804,2596,883,2106,974,298,4502,,g22610,,FBgn0082831,,,pps,protein partner of snf,,,,,,,
LOC124203641,XP_046456336.1,uncharacterized protein LOC124203641,165,87,225,111,267,107,38,272,,g22611,F54F7.4.1,,,,,,,,,,,,
LOC124203642,XP_046456339.1,uncharacterized protein LOC124203642 isoform X1,1263,840,2553,1234,2134,864,478,2414,,g22613,,,,,,,,,,,,,
LOC124203643,XP_046456343.1,bumetanide-sensitive sodium-(potassium)-chloride cotransporter-like,5,10,32,52,757,30,13,107,,g3724,,FBgn0036279,,,Ncc69,sodium chloride cotransporter 69,,,,,,,
LOC124203645,XP_046456341.1,uncharacterized protein y4hQ-like,791,458,714,194,438,183,48,733,,g22612,,,,,,,,,,,,,
LOC124203646,XP_046456342.1,uncharacterized protein LOC124203646,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,
LOC124203648,XP_046456344.1,brachyurin-like,0,0,1,1,69,136,60,265,,g22617,,FBgn0035670,FBpp0076774,FBgn0035670,CG10472,0,,,,,,,
LOC124203649,XP_046456348.1,glycerol kinase-like isoform X2,271,795,2122,1376,2815,976,1017,914,,g22620,R11F4.1.1,FBgn0025592,,,Gk1,Glycerol kinase 1,,,,,,,
LOC124203650,XP_046456349.1,brachyurin-like,0,0,0,3,336,753,252,450,,g22622,,,,,,,,,,,,,
LOC124203651,XP_046456350.1,brachyurin-like,34,335,286,159,670,136,85,150,,g22635,,,FBpp0076748,FBgn0250815,Jon65Aiv,Jonah 65Aiv,,,,,,,
LOC124203653,XP_046456351.1,brachyurin-like,0,0,1,4,150,159,38,10,,g22624,,,,,,,,,,,,,NP_001040430.1
LOC124203654,XP_046456352.1,brachyurin-like,0,0,1,7,120,9,17,14,,g22621,,,,,,,,,,,,,
LOC124203655,XP_046456353.1,brachyurin-like,0,0,0,51,413,564,190,137,,g22628,,,,,,,,XP_021695509.1,,,,,
LOC124203656,XP_046456355.1,brachyurin-like,0,0,0,63,744,903,333,330,,g22625,,FBgn0035670,,,CG10472,0,,XP_001659051.1,,ENSMUSP00000034368.7,,,
LOC124203657,XP_046456356.1,brachyurin-like,0,0,1,333,1921,487,208,56,,g22623,,,,,,,,,,,,,
LOC124203658,XP_046456357.1,vacuolar protein sorting-associated protein 33A-like,326,1449,3119,1210,1857,1110,696,505,,,,,,,,,,,,,,,
LOC124203659,XP_046456362.1,uncharacterized protein LOC124203659,1,11,13,6,61,6,4,18,,g6108,,,,,,,,XP_021704707.1,,,,,
LOC124203660,XP_046456359.1,uncharacterized protein LOC124203660,2,0,2,25,329,32,66,159,,,,,,,,,,,,,,,
LOC124203661,XP_046456360.1,uncharacterized protein LOC124203661,0,0,3,5,274,16,64,196,,g22632,,,,,,,,,,,,,
LOC124203662,XP_046456361.1,uncharacterized protein LOC124203662,0,0,29,609,1945,299,460,442,,g22634,,FBgn0000063,,,Mps1,Monopolar spindle 1,,,,,,,
LOC124203663,XP_046456363.1,uncharacterized protein LOC124203663,0,2,3,211,6200,345,885,634,,g22630,,,,,,,,,,,,,
LOC124203664,XP_046456364.1,uncharacterized protein LOC124203664,0,0,0,270,15389,737,2011,948,,g22629,,,,,,,,,,,,,
LOC124203665,XP_046456365.1,uncharacterized protein LOC124203665,0,0,8,925,41439,1715,4039,1620,,g22626,,,,,,,,,,,,,
LOC124203666,XP_046456366.1,uncharacterized protein LOC124203666,0,0,0,4,10,11,20,5,,g22627,,,,,,,,,,,,,
LOC124203667,XP_046456368.1,uncharacterized protein LOC124203667 isoform X2,0,0,0,36,48,714,771,494,,,F08F8.10a.1,,,,,,,,,,,,
LOC124203669,XP_046456369.1,proton channel OtopLc-like isoform X1,3,1,58,125,419,161,178,229,,g3365,,FBgn0259150,,,OtopLc,Otopetrin-like c,,,,,,,
LOC124203670,XP_046456379.1,uncharacterized protein LOC124203670 isoform X9,1981,6481,13890,7936,11705,3335,4215,3070,,g22664,,FBgn0010905,,,Spn,Spinophilin,,,,,XP_026298952.1,,
LOC124203671,XP_046456384.1,transcription termination factor 2-like isoform X1,3127,6135,4629,544,743,385,611,1561,,g22644,F54E12.2.2,FBgn0002542,,,lds,lodestar,,XP_021710638.1,ENSP00000358478.3,ENSMUSP00000076208.6,,,
LOC124203672,XP_046456388.1,apoptotic chromatin condensation inducer in the nucleus-like,8682,41965,69988,20294,33241,12443,13536,8565,,g22659,,FBgn0263198,,,Acn,Acinus,,,,,,,
LOC124203673,XP_046456391.1,protein CASC3-like isoform X1,4418,17134,27832,9334,16876,4614,6740,6177,,g22651,W08E3.2.1,FBgn0045862,,,btz,barentsz,,XP_021710512.1,,,,,XP_004922601.1
LOC124203674,XP_046456397.1,ABC transporter G family member 20-like isoform X2,348,35,73,52,4487,403,285,457,,g22640,,,,,,,,,,,,,
LOC124203675,XP_046456401.1,6-phosphogluconate dehydrogenase%2C decarboxylating-like isoform X1,2,5,11,1,20,2,0,2,,g3366,,FBgn0004654,,,Pgd,Phosphogluconate dehydrogenase,,,,,,,
LOC124203676,XP_046456398.1,ABC transporter G family member 20-like,19,7,19,15,1787,109,88,67,,,,,,,,,,,,,,,
LOC124203677,XP_046456399.1,transmembrane protein 209-like,1563,2093,2437,610,634,279,351,695,,g22657,B0464.6.2,FBgn0036710,FBpp0075006,FBgn0036710,CG6479,0,,XP_021697531.1,ENSP00000419697.1,ENSMUSP00000138232.2,XP_001122585.3,,XP_004926205.1
LOC124203678,XP_046456400.1,aspartate aminotransferase%2C mitochondrial-like,1405,2989,13983,10468,16463,7116,8197,5771,,g22660,C14F11.1.1,FBgn0001125,FBpp0077537,FBgn0001125,Got2,Glutamate oxaloacetate transaminase 2,,XP_001655159.1,ENSP00000245206.5,ENSMUSP00000034097.8,XP_396131.3,,NP_001040337.1
LOC124203679,XP_046456402.1,RNA-binding protein NOB1-like,971,2617,4247,1044,1129,613,963,703,,g22658,Y54E10BR.4.1,FBgn0030177,FBpp0309414,FBgn0030177,CG2972,0,,XP_001651182.2,ENSP00000268802.5,ENSMUSP00000003946.9,XP_026299124.1,,XP_012544927.2
LOC124203680,XP_046456403.1,uncharacterized protein LOC124203680,0,4,174,119,2359,261,207,413,,g22663,,FBgn0039655,,,CG14507,0,,,ENSP00000447233.1,ENSMUSP00000031495.5,,,
LOC124203681,XP_046456404.1,beta-1%2C3-glucan-binding protein-like,10,48,494,283,354,33,17,188,,g22654,,FBgn0040323,,,GNBP1,Gram-negative bacteria binding protein 1,,,,,,,
LOC124203682,XP_046456405.1,beta-1%2C3-glucan-binding protein-like,2,1,4,17,119,64,31,53,,g22646,,FBgn0040323,,,GNBP1,Gram-negative bacteria binding protein 1,,,,,,,
LOC124203683,XP_046456406.1,beta-1%2C3-glucan-binding protein-like,0,0,0,1,3,1,0,2,,g22649,,,,,,,,,,,,,
LOC124203684,XP_046456407.1,beta-1%2C3-glucan-binding protein-like,2,15,21,15,102,21,24,69,,g22650,F33D11.9f.1,,,,,,,,,,,,
LOC124203685,XP_046456410.1,LETM1 domain-containing protein 1-like isoform X2,191,307,1124,577,880,612,411,375,,g22652,,FBgn0017429,,,CG5989,0,,,,,,,
LOC124203686,XP_046456411.1,malate dehydrogenase%2C mitochondrial-like,1856,4166,10933,10212,23607,6616,6672,5222,,g22656,F20H11.3.1,FBgn0262559,FBpp0082985,FBgn0262559,Mdh2,Malate dehydrogenase 2,,XP_001659012.2,ENSP00000327070.5,ENSMUSP00000019323.7,XP_392478.2,,XP_004928974.1
LOC124203687,XP_046456412.1,serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform,4656,15602,26493,10998,17947,5442,6053,4334,,g22643,F38H4.9.1,FBgn0004177,FBpp0310062,FBgn0004177,mts,microtubule star,,XP_021700500.1,ENSP00000418447.1,ENSMUSP00000020608.3,XP_623105.1,,XP_004926298.1
LOC124203688,XP_046456413.1,uncharacterized protein LOC124203688,28,176,425,132,260,72,144,120,,g22655,C14A4.7b.1,,,,,,,,ENSP00000494327.1,,,,
LOC124203689,XP_046456414.1;transl_except=(pos:complement(13486928..13486930)%2Caa:Sec),glutathione peroxidase-like,93,1134,1092,279,807,1377,726,643,,,,,,,,,,,,,,,
LOC124203690,XP_046456415.1,uncharacterized protein LOC124203690,337,115,281,132,228,121,42,574,,g22645,,FBgn0042134,,,Capr,Caprin,,,ENSP00000434150.1,ENSMUSP00000106777.2,,,
LOC124203691,XP_046456416.1;transl_except=(pos:complement(13488559..13488561)%2Caa:Sec),glutathione peroxidase-like,41,100,108,45,171,2050,1160,20454,,,,,,,,,,,,,,,
LOC124203692,XP_046456419.1,uncharacterized protein LOC124203692,2,8,1,6,66,13,3,18,,g16025,,,,,,,,,,,,,
LOC124203693,XP_046456418.1,uncharacterized protein LOC124203693 isoform X2,1,0,35,269,230,103,72,14,,g22661,,FBgn0266347,,,nAChRalpha4,nicotinic Acetylcholine Receptor alpha4,,,,,,,
LOC124203696,XP_046456420.1,cadherin-87A-like isoform X1,3234,14631,23717,14521,11009,9665,9814,4722,,g22674,,FBgn0036715,,,Cad74A,Cadherin 74A,,,,,,,
LOC124203697,XP_046456423.1,DNA topoisomerase 2-like,17489,60509,59810,8746,7232,4921,8277,5816,,g22672,K12D12.1.1,FBgn0284220,FBpp0080825,FBgn0284220,Top2,Topoisomerase 2,,XP_001656142.2,ENSP00000411532.1,ENSMUSP00000068896.8,XP_026295486.1,,XP_021207135.2
LOC124203698,XP_046456424.1,repetitive organellar protein-like isoform X1,0,2,4,32,349,332,132,1297,,g22665,,FBgn0013997,,,Nrx-IV,Neurexin IV,,,,,,,
LOC124203699,XP_046456429.1,uncharacterized protein LOC124203699 isoform X1,308,1277,4963,1828,4043,3003,2693,2212,,g22677,,FBgn0028494,,,CG6424,0,,,,,,,
LOC124203700,XP_046457084.1,protein shifted-like isoform X9,141,198,1449,1112,1257,489,562,305,,g840,,FBgn0003390,FBpp0309089,FBgn0003390,shf,shifted,,XP_001655312.1,ENSP00000286574.4,ENSMUSP00000020439.5,XP_625183.2,,
LOC124203701,XP_046456438.1,ABC transporter G family member 20-like isoform X2,4,35,54,105,2388,224,192,104,,,,,,,,,,,,,,,
LOC124203702,XP_046456465.1,uncharacterized protein LOC124203702,2765,616,911,487,1096,358,103,2004,,,,,,,,,,,,,,,
LOC124203703,XP_046456439.1,ABC transporter G family member 20-like,182,965,1592,966,3770,1628,1945,803,,g22670,,FBgn0039594,,,snu,snustorr,,,,,,,
LOC124203704,XP_046456443.1,ABC transporter G family member 20-like isoform X2,66,54,276,838,2936,500,545,478,,g22669,,,,,,,,,,,,,
LOC124203705,XP_046456444.1,serine/arginine repetitive matrix protein 2-like isoform X1,1751,6374,12241,4226,8749,2199,2269,1729,,,Y54G2A.41.1,,,,,,,,,,,,
LOC124203706,XP_046456446.1,uncharacterized protein LOC124203706,0,0,0,5,37,58,21,29,,,,,,,,,,,,,,,
LOC124203707,XP_046456447.1,N6-adenosine-methyltransferase non-catalytic subunit-like isoform X1,733,2346,3536,956,1088,496,618,499,,g22671,C14A6.6.1,FBgn0032016,,,Mettl14,Methyltransferase like 14,,,,ENSMUSP00000029759.10,,,
LOC124203708,XP_046456450.1,beta-1%2C3-galactosyltransferase 5-like isoform X2,0,0,79,51,53,17,10,6,,g22680,B0024.15.1,FBgn0031988,,,CG8668,0,,,,,,,
LOC124203709,XP_046456452.1,vacuolar protein sorting-associated protein 33A-like,258,1286,3273,1251,2007,749,614,342,,,,,,,,,,,,,,,
LOC124203710,XP_046456454.1,endoplasmic reticulum resident protein 29-like,270,1947,4308,1166,917,456,826,603,,,,,FBpp0085698,FBgn0004003,wbl,windbeutel,,XP_021712812.1,ENSP00000261735.3,ENSMUSP00000117347.2,XP_006568873.1,,XP_004928837.2
LOC124203711,XP_046456455.1,actin-related protein 2/3 complex subunit 3-like,285,1570,3760,1542,1606,455,512,387,,g22675,Y37D8A.1.1,FBgn0038369,FBpp0289797,FBgn0038369,Arpc3A,"Actin-related protein 2/3 complex, subunit 3A",,XP_021712667.1,ENSP00000228825.7,ENSMUSP00000099584.5,XP_001120355.1,,NP_001041679.1
LOC124203712,XP_046456459.1,vascular endothelial growth factor receptor 1-like isoform X4,2,4,7,34,214,99,95,37,,g22681,,FBgn0032006,,,Pvr,PDGF- and VEGF-receptor related,,,,,,,
LOC124203713,XP_046456461.1,uncharacterized protein LOC124203713,6,4,5,8,83,383,302,456,,g22682,,FBgn0037213,,,CG12581,0,,,,,,,
LOC124203718,XP_046456462.1,uncharacterized protein LOC124203718,0,0,0,2,14,8,0,2,,,,,,,,,,,,,,,
LOC124203719,XP_046456463.1,E3 ubiquitin-protein ligase RNF19B-like,332,1839,3386,1350,8138,1201,1254,1213,,g22697,C17H11.6c.3,FBgn0025186,,,ari-2,ariadne 2,,XP_021693525.1,ENSP00000342667.2,ENSMUSP00000022890.9,XP_026301437.1,,XP_037867735.1
LOC124203720,XP_046456470.1,cysteine sulfinic acid decarboxylase-like isoform X2,314,902,1851,824,1418,915,768,539,,g22694,,FBgn0036975,,,CG5618,0,,,,,,,
LOC124203721,XP_046456474.1,uncharacterized protein LOC124203721,0,34,804,559,726,217,210,97,,g22696,H37A05.2.1,,FBpp0082982,FBgn0038581,CG14314,0,,XP_001662618.1,,,NP_001166189.1,,XP_004923557.1
LOC124203722,XP_046456477.1,uncharacterized protein LOC124203722 isoform X1,1153,6103,10817,3481,4141,1506,1644,803,,g22693,,,FBpp0085373,FBgn0033032,kune,kune-kune,,XP_001650523.1,,,XP_001122976.1,,
LOC124203723,XP_046456479.1,putative thiamine transporter SLC35F3,0,5,130,275,747,236,291,26,,g22698,Y73B6BL.31a.1,FBgn0259222,FBpp0293594,FBgn0259222,CG42322,0,,XP_021693298.1,ENSP00000355576.3,ENSMUSP00000104390.3,XP_026296298.1,,XP_021201873.2
LOC124203725,XP_046456481.1,transmembrane protein 94-like isoform X1,516,1458,3600,1760,2275,1256,1018,915,,g22708,,FBgn0022153,,,l(2)k05819,lethal (2) k05819,,,ENSP00000463929.1,,,,
LOC124203726,XP_046456486.1,tonsoku-like protein,1095,2890,2298,284,394,261,437,858,,g22718,,FBgn0035812,FBpp0312411,FBgn0035812,CG7457,0,,XP_021696489.1,ENSP00000386239.3,ENSMUSP00000129597.2,XP_026298507.1,,XP_037869986.1
LOC124203727,XP_046456487.1,uncharacterized protein LOC124203727,4,29,358,8696,55013,16046,4633,1296,,,,,,,,,,,,,,,
LOC124203728,XP_046456490.1,acetyl-coenzyme A synthetase 2-like%2C mitochondrial isoform X3,144,475,1205,825,3263,1016,725,622,,g22712,,FBgn0012034,,,AcCoAS,Acetyl Coenzyme A synthase,,,,,,,
LOC124203729,XP_046456492.1,succinate dehydrogenase [ubiquinone] flavoprotein subunit%2C mitochondrial-like,1289,4497,15300,12815,27957,13146,11671,6363,,g22713,C03G5.1.1,FBgn0261439,FBpp0085737,FBgn0261439,SdhA,"Succinate dehydrogenase, subunit A (flavoprotein)",,XP_021710180.1,ENSP00000264932.6,ENSMUSP00000022062.8,XP_623065.2,,XP_004931765.1
LOC124203730,XP_046456494.1,major antigen-like,0,1,4,5,35,23,11,126,,,,,,,,,,,,,,,
LOC124203731,XP_046456495.1,uncharacterized protein LOC124203731,1,0,12,14,213,198,79,101,,,,,,,,,,,,,,,
LOC124203733,XP_046456499.1,uncharacterized protein LOC124203733,0,2,0,2,9,29,7,12,,,,,,,,,,,,,,,
LOC124203734,XP_046456500.1,O-phosphoseryl-tRNA(Sec) selenium transferase-like,124,675,1533,778,1282,752,669,605,,g22704,D1054.13a.1,FBgn0037347,FBpp0271885,FBgn0037347,SecS,Sec synthetase,,XP_001649002.2,ENSP00000371535.2,ENSMUSP00000031069.7,XP_625123.1,,
LOC124203735,XP_046456503.1,juvenile hormone epoxide hydrolase 1-like,806,1870,5571,3059,1986,683,815,1084,,g22701,W01A11.1a.1,FBgn0034406,FBpp0311868,FBgn0034405,Jheh3,Juvenile hormone epoxide hydrolase 3,,XP_001661591.1,ENSP00000355802.4,ENSMUSP00000047551.6,XP_394922.3,,NP_001159619.1
LOC124203736,XP_046456504.1,vascular endothelial growth factor receptor 1-like,30,248,3729,1125,624,198,192,122,,g22716,,FBgn0016697,,,Prosalpha5,Proteasome alpha5 subunit,,,,,,,
LOC124203737,XP_046456505.1,chitinase domain-containing protein 1-like isoform X1,570,1942,3609,1568,1414,789,903,725,,g22703,,FBgn0031996,,,CG8460,0,,XP_021701718.1,,,,,
LOC124203739,XP_046456508.1,protein ABHD13-like,355,624,1636,639,671,258,409,510,,g22702,,FBgn0025109,FBpp0077328,FBgn0025109,Bem46,Bem46,,XP_021700371.1,ENSP00000365063.3,ENSMUSP00000036730.6,XP_396091.3,,NP_001040377.1
LOC124203740,XP_046456509.1,proteasome subunit alpha type-5-like,2910,8439,13394,3412,2772,912,1440,1340,,g22717,F25H2.9.1,,FBpp0086067,FBgn0016697,Prosalpha5,Proteasome alpha5 subunit,,XP_001648894.1,ENSP00000271308.4,ENSMUSP00000088057.6,XP_016767900.1,,NP_001040146.1
LOC124203741,XP_046456511.1,uncharacterized protein LOC124203741,284,873,2305,884,1266,359,420,321,,g22709,F09E5.11.1,FBgn0260467,FBpp0083608,FBgn0260467,CG7071,0,,XP_021712726.1,ENSP00000292114.3,ENSMUSP00000058599.8,XP_006561836.1,,XP_037866798.1
LOC124203742,XP_046456512.1,uncharacterized protein LOC124203742,0,0,201,3940,3433,424,108,141,,g22705,,FBgn0032900,,,CG14401,0,,,,,,,
LOC124203743,XP_046456513.1,cuticle protein 7-like,6,8,53,98,2919,739,1258,868,,,,,,,,,,XP_021708459.1,,,,,
LOC124203744,XP_046456514.1,pro-resilin-like,1,15,9,2,2253,492,636,2135,,g22710,,,,,,,,,,ENSMUSP00000079025.3,,,
LOC124203750,XP_046456517.1,LIM domain-binding protein 3-like isoform X1,625,151,3877,9477,30414,7135,6951,3901,,g22734,,FBgn0265991,,,Zasp52,Z band alternatively spliced PDZ-motif protein 52,,,,,,,
LOC124203751,XP_046456532.1,translation initiation factor eIF-2B subunit epsilon-like,1178,2944,6634,2195,3478,1092,1406,1680,,g22730,D2085.3.1,FBgn0023512,FBpp0089217,FBgn0023512,eIF2Bepsilon,eukaryotic translation initiation factor 2B subunit epsilon,,XP_021701100.1,ENSP00000497160.1,ENSMUSP00000003320.7,XP_026301310.1,,XP_021204701.1
LOC124203753,XP_046456535.1,serine/threonine-protein kinase PAK 2-like isoform X1,1331,1468,3273,1467,2597,782,726,1297,,g22726,,FBgn0267698,,,Pak,p21-activated kinase,,,,,XP_003251581.1,,
LOC124203754,XP_046456537.1,PDZ and LIM domain protein Zasp-like isoform X1,4,34,1087,1765,7315,1999,1403,682,,g22732,,FBgn0265991,,,Zasp52,Z band alternatively spliced PDZ-motif protein 52,,,,,,,
LOC124203755,XP_046456539.1,complement component 1 Q subcomponent-binding protein%2C mitochondrial-like,2940,10120,28523,9483,6229,919,2878,2788,,g22728,F59A2.3.2,FBgn0034259,FBpp0086051,FBgn0034259,P32,P32,,XP_001661410.2,ENSP00000225698.4,ENSMUSP00000077612.7,XP_397201.2,,XP_012553378.1
LOC124203756,XP_046456540.1,translocator protein-like,67,233,3031,1512,1144,443,339,518,,g22731,,FBgn0031263,,,Tspo,Translocator protein,,,,,,,
LOC124203760,XP_046456543.1,rab GTPase-binding effector protein 1-like isoform X1,1053,3269,7271,2842,3722,1601,1630,1249,,g22741,,FBgn0034585,,,Rbpn-5,Rabaptin-5,,,,ENSMUSP00000136069.2,XP_006566804.2,,XP_012553431.1
LOC124203761,XP_046456547.1,glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2-like isoform X3,1930,1760,6415,4407,78027,6833,7217,8926,,g22736,,FBgn0287209,,,Gfat1,Glutamine:fructose-6-phosphate aminotransferase 1,,,,ENSMUSP00000020629.5,XP_016767018.2,,
LOC124203763,XP_046456549.1,YTH domain-containing protein 1-like,1845,6956,11964,3876,5876,1587,1762,1278,,g22737,,FBgn0027616,FBpp0072940,FBgn0027616,Ythdc1,YTH domain containing 1,,XP_001661159.1,ENSP00000339245.4,ENSMUSP00000122491.2,XP_395221.4,,XP_004931496.2
LOC124203764,XP_046456550.1,phosphatidylinositol 4%2C5-bisphosphate 5-phosphatase A-like,289,1047,3595,1971,3246,1296,642,775,,g22742,,FBgn0030761,FBpp0074064,FBgn0030761,CG9784,0,,XP_021710315.1,ENSP00000384534.3,ENSMUSP00000139214.2,XP_392265.4,,XP_012550986.1
LOC124203765,"XP_046456551.1;transl_except=(pos:13857765..13859256%2Caa:Other),(pos:13859257..13859259%2Caa:Other)",LOW QUALITY PROTEIN: eukaryotic translation initiation factor 3 subunit C-like,8293,38898,61141,18157,17668,6335,11719,8797,,,,,,,,,,,,,,,
LOC124203768,XP_046456552.1,uncharacterized protein LOC124203768,0,0,2,1,4,92,27,36,,,,,,,,,,,,,,,
LOC124203769,XP_046456553.1,uncharacterized protein LOC124203769 isoform X1,335,10,42,11,57,19,19,694,,g22745,,FBgn0010830,,,l(3)04053,lethal (3) 04053,,,,,,,
LOC124203770,XP_046456560.1,exonuclease 1-like isoform X1,999,4937,9336,2915,4572,1519,1479,1401,,g2817,F45G2.3.1,FBgn0015553,FBpp0080675,FBgn0015553,tos,tosca,,XP_001657573.2,ENSP00000430251.1,ENSMUSP00000039376.7,XP_026294890.1,,XP_004932924.1
LOC124203771,XP_046456564.1,brefeldin A-inhibited guanine nucleotide-exchange protein 3-like isoform X1,319,2390,5153,2588,4730,1617,1445,857,,g22751,,FBgn0029834,,,CG5937,0,,,,,,,
